"","ensembl_gene_id","entrez.human","entrezgene","gene","cardiomyopathy_score","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj","MSeqDR"
"5596","ENSMUSG00000029376",441024,665563,"Mthfd2l",NA,8.73666816336656e-07,1.14158953540269e-06,6.0574409727062e-07,0.53061461977833,-0.914263668866314,0.0523718220074629,0.536328989513513,"<a href=""https://mseqdr.org/MITO_backend/genes/MTHFD2L"">MTHFD2L</a>"
"5597","ENSMUSG00000029381",57619,27428,"Shroom3",NA,1.59353019643515e-05,1.89567631704797e-05,1.29138407582233e-05,0.681226042763107,-0.553794505662148,0.114596989001119,0.731857098773093,NA
"5598","ENSMUSG00000029385",901,12452,"Ccng2",NA,4.87088731281985e-06,5.44765763712688e-06,4.29411698851281e-06,0.788250157140482,-0.343274542372319,0.286252710369988,0.860572556908757,NA
"5599","ENSMUSG00000029386",NA,NA,"Tctn2",NA,1.30208767392745e-06,1.38537288299319e-06,1.21880246486171e-06,0.87976492092758,-0.184810017409235,0.653196690860563,0.963500694165483,NA
"5600","ENSMUSG00000029387",2967,209357,"Gtf2h3",NA,5.74494018633871e-06,6.60227115072142e-06,4.887609221956e-06,0.740292107121643,-0.433833448008125,0.253053655283281,0.845754859243223,NA
"5601","ENSMUSG00000029388",1967,209354,"Eif2b1",NA,7.34776373641255e-06,7.80498778254505e-06,6.89053969028004e-06,0.882837985434126,-0.179779389807142,0.648796562969706,0.963500694165483,NA
"5602","ENSMUSG00000029389",57696,67848,"Ddx55",NA,2.03028147435344e-06,1.80682475075512e-06,2.25373819795176e-06,1.24734742371105,0.318863355027432,0.400773808941004,0.904517964646565,NA
"5603","ENSMUSG00000029390",10959,56334,"Tmed2",NA,1.07603041453024e-05,1.0716777466829e-05,1.08038308237757e-05,1.00812309084668,0.0116718012508411,0.889234303562975,0.998641789749459,NA
"5604","ENSMUSG00000029392",353116,75695,"Rilpl1",NA,4.63848460931167e-05,5.75446066961063e-05,3.5225085490127e-05,0.612135307069715,-0.708077511801925,0.0537643450530796,0.541267182178116,NA
"5605","ENSMUSG00000029394",8099,13445,"Cdk2ap1",NA,1.25472601411279e-06,1.28218789176498e-06,1.2272641364606e-06,0.957164035273513,-0.0631619051853431,1,1,NA
"5606","ENSMUSG00000029397",25898,68098,"Rchy1",NA,7.30162615344389e-06,7.2647728033469e-06,7.33847950354088e-06,1.01014576810441,0.0145634947069017,1,1,NA
"5607","ENSMUSG00000029401",196383,80291,"Rilpl2",NA,2.26368415864903e-06,2.59976351332608e-06,1.92760480397198e-06,0.741453903053604,-0.431571093243502,0.31151186473813,0.87385154414171,NA
"5608","ENSMUSG00000029402",NA,76167,"Snrnp35",NA,9.9827367664878e-07,1.15744337352912e-06,8.39103979768442e-07,0.724963310481411,-0.464020110967935,0.46885180440359,0.931147841805019,NA
"5609","ENSMUSG00000029403",8999,53886,"Cdkl2",NA,2.75733710115807e-06,2.49577288196829e-06,3.01890132034784e-06,1.20960578671204,0.274536946491068,0.440369644811095,0.918343016397966,NA
"5610","ENSMUSG00000029404",51329,65105,"Arl6ip4",NA,4.74310530939009e-06,5.53631482012069e-06,3.9498957986595e-06,0.713452165744685,-0.487111389161535,0.2226426848242,0.828933317668016,NA
"5611","ENSMUSG00000029405",9908,23881,"G3bp2",NA,1.2191064821799e-05,1.20021207494933e-05,1.23800088941048e-05,1.03148511438093,0.0447230014824917,0.820085462779082,0.987231523599701,NA
"5612","ENSMUSG00000029406",57605,19679,"Pitpnm2",NA,2.06691968951729e-05,2.04787784686438e-05,2.0859615321702e-05,1.01859665866503,0.0265828898374893,0.833949533998269,0.988767927592824,NA
"5613","ENSMUSG00000029407",8615,56041,"Uso1",NA,1.89742504850433e-05,2.09766635178913e-05,1.69718374521954e-05,0.809081836952758,-0.305642459235014,0.320067169883009,0.876694625430605,NA
"5614","ENSMUSG00000029408",23457,56325,"Abcb9",NA,4.91117932990435e-06,3.14339266694802e-06,6.67896599286068e-06,2.12476349617034,1.08730226624288,0.0833674233822748,0.653700017018356,NA
"5615","ENSMUSG00000029413",27163,67111,"Naaa",NA,2.5275407915787e-06,2.98982075235889e-06,2.0652608307985e-06,0.690764096532898,-0.533734996241786,0.160071822670824,0.78813701320401,NA
"5616","ENSMUSG00000029415",55153,231452,"Sdad1",NA,6.17457528562962e-06,5.19573710191122e-06,7.15341346934802e-06,1.37678510845298,0.461303398134843,0.145392314722414,0.773458735146079,NA
"5617","ENSMUSG00000029416",121260,100561,"Slc15a4",NA,5.60569539955659e-06,7.07759925252834e-06,4.13379154658485e-06,0.584066912958957,-0.775794435603754,0.0256910517712264,0.390109559986735,NA
"5618","ENSMUSG00000029417",4283,17329,"Cxcl9",NA,8.32015161596955e-07,5.83182746101039e-07,1.08084757709287e-06,1.85336000476531,0.890143143989736,0.250926374950526,0.843799741908064,NA
"5619","ENSMUSG00000029422",65117,208606,"Rsrc2",NA,8.42239181347981e-06,8.94031920268933e-06,7.90446442427029e-06,0.884136712019471,-0.177658627416769,0.615433185186571,0.959026223671555,NA
"5620","ENSMUSG00000029426",950,12492,"Scarb2",NA,5.49762511605041e-05,7.03920276815265e-05,3.95604746394818e-05,0.562002203125397,-0.831352308868466,0.0175595675473169,0.316547967681804,NA
