"","ensembl_gene_id","entrez.human","entrezgene","gene","cardiomyopathy_score","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj","MSeqDR"
"10049","ENSMUSG00000046329",79085,66972,"Slc25a23",NA,2.67957555702044e-06,3.06754434317484e-06,2.29160677086604e-06,0.74704927280506,-0.420724693523215,0.145750081783187,0.263788027465915,"<a href=""https://mseqdr.org/MITO_backend/genes/SLC25A23"">SLC25A23</a>"
"10050","ENSMUSG00000046330",6168,19981,"Rpl37a",NA,1.06616081098176e-06,1.27736044858237e-06,8.54961173381137e-07,0.669318651857416,-0.579234876539242,0.261563310785723,0.401830651481037,NA
"10051","ENSMUSG00000046334",NA,NA,"Gm6195",NA,2.89588774181288e-07,2.55344186229584e-07,3.23833362132992e-07,1.26822296961102,0.342808411780928,0.444874573955737,0.587439937244331,NA
"10052","ENSMUSG00000046341",NA,NA,"Gm11223",NA,1.21182136725071e-07,1.00270516389619e-07,1.42093757060522e-07,1.41710407183296,0.502945713375128,0.710981646533198,0.810935737115016,NA
"10053","ENSMUSG00000046345",255798,69576,"Smco1",NA,1.55634465609739e-05,1.16441304032803e-05,1.94827627186676e-05,1.6731831441169,0.742595369254369,0.00431580825004159,0.0207150364516478,NA
"10054","ENSMUSG00000046351",79692,218100,"Zfp322a",NA,4.18181579150797e-06,5.89343509382774e-06,2.4701964891882e-06,0.419143750607395,-1.25448297573329,4.98798539781946e-05,0.000720672796470736,NA
"10055","ENSMUSG00000046364",6157,26451,"Rpl27a",NA,5.04275605512481e-06,7.2274999783412e-06,2.85801213190842e-06,0.395435785606791,-1.33848465887003,0.00355026178268441,0.0179054553588453,NA
"10056","ENSMUSG00000046380",8629,16469,"Jrk",NA,3.03743338204491e-06,3.09755802692908e-06,2.97730873716074e-06,0.961179326190847,-0.0571224767178559,0.980819112264823,1,NA
"10057","ENSMUSG00000046387",57717,93888,"Pcdhb17",NA,9.30528922412218e-07,9.82042454984883e-07,8.79015389839553e-07,0.895088990682265,-0.15989697113212,0.978772799235634,1,NA
"10058","ENSMUSG00000046402",5947,19659,"Rbp1",NA,1.86455856063692e-06,2.38072402922422e-06,1.34839309204962e-06,0.566379418822856,-0.82015925337478,0.0362246874270795,0.097478309465478,NA
"10059","ENSMUSG00000046404",55432,226418,"Yod1",NA,2.77472150261424e-06,4.11376697136077e-06,1.4356760338677e-06,0.34899303822083,-1.51872983731909,2.87970098374863e-06,7.47292616988386e-05,NA
"10060","ENSMUSG00000046408",646457,73453,"1700067K01Rik",NA,3.75740410057112e-07,5.75296387960541e-07,1.76184432153683e-07,0.306249849365937,-1.70721896038544,0.00312847652557546,0.0163705335818099,NA
"10061","ENSMUSG00000046410",9424,52150,"Kcnk6",NA,1.47424603530671e-06,2.1226890613806e-06,8.25803009232816e-07,0.389036257950899,-1.36202347507876,0.000278994839639967,0.00270960084470509,NA
"10062","ENSMUSG00000046413",NA,NA,"Irx3os",NA,1.0360140693026e-06,1.00638389331017e-06,1.06564424529502e-06,1.05888444000225,0.0825451512446776,0.742596447168807,0.835278327756122,NA
"10063","ENSMUSG00000046415",NA,NA,"B430212C06Rik",NA,1.78206755340893e-07,7.7063613202404e-08,2.79349897479383e-07,3.62492603020939,1.85795155597202,0.0200121579170766,0.0641757106210194,NA
"10064","ENSMUSG00000046417",388341,192976,"Lrrc75a",NA,2.1154810540291e-06,2.29373795024638e-06,1.93722415781182e-06,0.844570827109406,-0.243709679989998,0.839914242576366,0.908303890523696,NA
"10065","ENSMUSG00000046432",27018,12070,"Ngfrap1",NA,2.82929377406387e-07,2.19003580343615e-07,3.4685517446916e-07,1.58378768933799,0.663378951535955,0.438198830381028,0.580878369844826,NA
"10066","ENSMUSG00000046434",3178,15382,"Hnrnpa1",NA,4.11041230784233e-07,6.86879520515993e-07,1.35202941052473e-07,0.196836471337662,-2.344930536085,0.000374533699308291,0.00336092901476158,NA
"10067","ENSMUSG00000046441",55783,234728,"Cmtr2",NA,3.38768438924627e-06,4.21747007644852e-06,2.55789870204402e-06,0.606500735198575,-0.721418700709432,0.0401839258299842,0.105091815713979,NA
"10068","ENSMUSG00000046442",22843,320472,"Ppm1e",NA,5.83845947971594e-07,8.2832301155282e-07,3.39368884390368e-07,0.40970597177322,-1.28733917354872,0.00224557409376556,0.0129394576521074,NA
"10069","ENSMUSG00000046447",55450,66259,"Camk2n1",NA,5.35959537449585e-06,7.53396695349551e-06,3.18522379549619e-06,0.422781758289814,-1.24201496460141,1.84019857636245e-05,0.000327255727383242,NA
"10070","ENSMUSG00000046470",54345,20672,"Sox18",NA,1.15665824528023e-06,1.58091416313459e-06,7.32402327425874e-07,0.463277731647168,-1.11005075681641,0.0038821563606258,0.0190924867251745,NA
"10071","ENSMUSG00000046480",6330,399548,"Scn4b",NA,0.000197851909390251,0.000202804268395742,0.000192899550384759,0.951161195524464,-0.0722382361603669,0.972121470765063,0.998173835142238,NA
"10072","ENSMUSG00000046491",114898,69183,"C1qtnf2",NA,6.80324877766368e-07,4.97706132094256e-07,8.6294362343848e-07,1.73384165432596,0.793972148300301,0.130885423566681,0.244528856180998,NA
"10073","ENSMUSG00000046516",10063,12856,"Cox17",NA,7.45178414257308e-06,9.46944046854848e-06,5.43412781659768e-06,0.573859441288683,-0.801230682356073,0.0193152337698838,0.062460839915161,"<a href=""https://mseqdr.org/MITO_backend/genes/COX17"">COX17</a>"
"10074","ENSMUSG00000046519",55204,229593,"Golph3l",NA,4.85471783983469e-06,5.97701427144493e-06,3.73242140822445e-06,0.6244625223761,-0.679313104967024,0.021122697294227,0.0664842575480229,NA
"10075","ENSMUSG00000046532",367,11835,"Ar",0.00028350457009367,4.02196861589721e-05,6.43284611976613e-05,1.61109111202828e-05,0.250447637333947,-1.99741909328426,2.5848856458539e-14,4.78890965983768e-12,NA
"10076","ENSMUSG00000046541",116115,210172,"Zfp526",NA,3.7669532982214e-06,4.22078710173175e-06,3.31311949471104e-06,0.784952999252604,-0.34932182276235,0.47168080519717,0.612104375394619,NA
"10077","ENSMUSG00000046546",131583,224093,"Fam43a",NA,3.84941383294167e-06,4.70759775485067e-06,2.99122991103268e-06,0.635404736513552,-0.654252250477846,0.0696186674179815,0.155913315739434,NA
"10078","ENSMUSG00000046556",57567,79233,"Zfp319",NA,3.60976062149174e-06,4.43043151056712e-06,2.78908973241636e-06,0.62953004143367,-0.667652869296931,0.058970977856111,0.138428104555259,NA
"10079","ENSMUSG00000046561",79642,271970,"Arsj",NA,2.75659230959903e-07,3.82439872688303e-07,1.68878589231502e-07,0.441582066337372,-1.17924651274299,0.045861016217876,0.115881216345068,NA
"10080","ENSMUSG00000046562",84747,106840,"Unc119b",NA,7.69640021543245e-06,9.82677990501413e-06,5.56602052585077e-06,0.56641347212943,-0.82007251459503,0.00780601410237803,0.0323101873309968,NA
"10081","ENSMUSG00000046567",91298,68281,"4930430F08Rik",NA,2.70829830995751e-06,3.26685845563443e-06,2.14973816428059e-06,0.658044477125381,-0.603742996094543,0.0795820862536815,0.171162882352518,NA
"10082","ENSMUSG00000046572",85460,100515,"Zfp518b",NA,2.71710473668691e-06,3.30831452311932e-06,2.12589495025449e-06,0.642591547870739,-0.638026089996438,0.0473029648681716,0.118327054726865,NA
"10083","ENSMUSG00000046573",57128,380840,"Lyrm4",NA,1.74704308115148e-06,1.8865026229414e-06,1.60758353936155e-06,0.852150174514484,-0.230820395732568,0.541928724231325,0.674691120096093,"<a href=""https://mseqdr.org/MITO_backend/genes/LYRM4"">LYRM4</a>"
"10084","ENSMUSG00000046574",57479,233210,"Prr12",NA,1.88315249761018e-06,2.16505708132557e-06,1.60124791389479e-06,0.739586927155942,-0.43520837081315,0.595958880761928,0.719912031927334,NA
"10085","ENSMUSG00000046580",NA,NA,"Gm7862",NA,4.501310083532e-07,5.70083033818686e-07,3.30178982887714e-07,0.579177002823639,-0.787923775910604,0.131327951164437,0.245167843525854,NA
"10086","ENSMUSG00000046589",80131,72267,"Lrrc8e",NA,1.17830451460362e-07,1.52525831141713e-07,8.31350717790109e-08,0.545055687660994,-0.875524459111413,0.447437628578341,0.590025870066907,NA
"10087","ENSMUSG00000046598",622,71911,"Bdh1",NA,8.52252368201306e-06,9.13298126871738e-06,7.91206609530874e-06,0.866318003126694,-0.207031396355576,1,1,"<a href=""https://mseqdr.org/MITO_backend/genes/BDH1"">BDH1</a>"
"10088","ENSMUSG00000046603",285343,382117,"Tcaim",NA,9.75518199242305e-06,9.91311085512335e-06,9.59725312972274e-06,0.968137375843288,-0.0467163186831606,0.86559115869557,0.925742944732799,NA
"10089","ENSMUSG00000046605",146712,210004,"B3gntl1",NA,1.06060802016602e-06,1.01779927701466e-06,1.10341676331739e-06,1.08412020742819,0.116524731826103,0.640079554791916,0.753980230497746,NA
"10090","ENSMUSG00000046618",169611,241327,"Olfml2a",NA,4.01785345108623e-06,3.79145570262772e-06,4.24425119954473e-06,1.11942523727844,0.162758178561786,0.424246455401573,0.56741945730215,NA
"10091","ENSMUSG00000046658",100131017,54201,"Zfp316",NA,3.15435372630314e-06,3.71990439196537e-06,2.58880306064092e-06,0.69593268747242,-0.522980323505919,0.07580172914611,0.165773344137346,NA
"10092","ENSMUSG00000046667",389677,72397,"Rbm12b1",NA,8.32515693171077e-07,1.34620925719155e-06,3.18822129150601e-07,0.236829547447716,-2.07807900844332,1.76921379917822e-05,0.000317991481324914,NA
"10093","ENSMUSG00000046668",51523,67393,"Cxxc5",NA,5.07572054201114e-06,4.96035619481197e-06,5.19108488921031e-06,1.04651454156451,0.0655923583181763,0.792412751254574,0.87313959375443,NA
"10094","ENSMUSG00000046671",56181,76824,"Mtfr1l",NA,5.08818338281047e-05,5.21987609047615e-05,4.95649067514479e-05,0.949541826134164,-0.0746965441941951,0.851659272390183,0.915996848229183,NA
"10095","ENSMUSG00000046675",26175,320351,"Tmem251",NA,2.14339678800528e-06,3.01063213535817e-06,1.27616144065239e-06,0.423884879744888,-1.23825558946657,0.000415830726546947,0.00362699553858231,NA
"10096","ENSMUSG00000046679",54980,232196,"C87436",NA,3.45572338452656e-06,4.69058760136229e-06,2.22085916769084e-06,0.473471419027721,-1.07865075445553,0.000534266992941683,0.0043684534685444,NA
"10097","ENSMUSG00000046687",NA,NA,"Gm5424",NA,7.48162129413646e-07,5.46782562504118e-07,9.49541696323174e-07,1.73659835085912,0.796264118913912,0.0948230510018198,0.193831029952882,NA
"10098","ENSMUSG00000046688",92610,211550,"Tifa",NA,1.45012453487008e-06,1.38838367807224e-06,1.51186539166792e-06,1.08893918557667,0.122923385536145,0.594162133055946,0.718453154280141,NA
"10099","ENSMUSG00000046691",54921,214987,"Chtf8",NA,8.99636794591607e-06,1.1171076636845e-05,6.82165925498713e-06,0.610653697646974,-0.711573636815359,0.0135365496810434,0.0483929997879218,NA
"10100","ENSMUSG00000046694",115572,100342,"Fam46b",NA,1.15781118051463e-06,2.03664851801729e-06,2.78973843011968e-07,0.13697692092868,-2.86799525912192,3.10758447730308e-06,7.91001850605355e-05,NA
"10101","ENSMUSG00000046707",1459,13000,"Csnk2a2",NA,1.61299583169531e-06,1.79412397444752e-06,1.4318676889431e-06,0.79808737263211,-0.325381397107826,0.621170347315979,0.739427596312929,NA
"10102","ENSMUSG00000046709",5602,26414,"Mapk10",NA,1.7500834367029e-07,2.1691847978884e-07,1.3309820755174e-07,0.613586300629182,-0.704661822338194,0.402300331783131,0.546760855787715,NA
"10103","ENSMUSG00000046711",3159,15361,"Hmga1",NA,1.24017471311555e-06,1.34446687720687e-06,1.13588254902424e-06,0.844857220569117,-0.243220545896844,0.670904135617129,0.778387073237599,NA
"10104","ENSMUSG00000046718",684,69550,"Bst2",NA,2.41007508029888e-06,2.362993934856e-06,2.45715622574175e-06,1.0398487230529,0.0563736606972899,0.960045510043713,0.990639176889437,NA
"10105","ENSMUSG00000046721",NA,NA,"Rpl14-ps1",NA,2.94091449113462e-05,3.61755912519814e-05,2.2642698570711e-05,0.625910946776049,-0.675970686585415,0.0131414280685028,0.04734226084649,NA
"10106","ENSMUSG00000046722",56882,57912,"Cdc42se1",NA,9.28931752628888e-06,1.16085067770041e-05,6.97012827557364e-06,0.600432804103721,-0.735925295435557,0.0181401400210298,0.0595556503696259,NA
"10107","ENSMUSG00000046727",84418,66060,"Cystm1",NA,3.02556436819743e-05,4.0507986854672e-05,2.00033005092765e-05,0.493811271862042,-1.01796832670584,1.61757541952212e-05,0.000297049358094425,NA
"10108","ENSMUSG00000046731",147040,216858,"Kctd11",NA,1.47873709376523e-06,2.15091544419041e-06,8.06558743340043e-07,0.374983937894232,-1.41509929452317,0.000354774211613087,0.00322714441340531,NA
"10109","ENSMUSG00000046733",9052,232431,"Gprc5a",NA,3.27761412175493e-07,4.92543408707552e-07,1.62979415643435e-07,0.330893506566451,-1.59556111431669,0.0153217741021588,0.0528255007996076,NA
"10110","ENSMUSG00000046743",79633,329628,"Fat4",NA,9.15182633347128e-06,9.58910733453803e-06,8.71454533240453e-06,0.908796306932189,-0.137971122700404,0.80901247584775,0.885713463036225,NA
"10111","ENSMUSG00000046753",285331,320234,"Ccdc66",NA,5.73094365022824e-06,5.51673626864856e-06,5.94515103180791e-06,1.07765728544865,0.107898447854236,0.609980754666033,0.731366791836427,NA
"10112","ENSMUSG00000046756",51081,50529,"Mrps7",NA,3.03878014700337e-05,3.06426178025184e-05,3.01329851375491e-05,0.983368501077366,-0.0241959509015846,0.951402978256815,0.984427995034765,"<a href=""https://mseqdr.org/MITO_backend/genes/MRPS7"">MRPS7</a>"
"10113","ENSMUSG00000046761",286077,105732,"Fam83h",NA,6.01498358828534e-07,5.63869666450766e-07,6.39127051206303e-07,1.13346592170712,0.180741016289802,0.67937946503745,0.785356437113034,NA
"10114","ENSMUSG00000046768",57381,80837,"Rhoj",NA,8.54998781208264e-06,1.20226549117038e-05,5.07732071246148e-06,0.422312771159956,-1.24361621854962,1.11815682273038e-05,0.000220557186758516,NA
"10115","ENSMUSG00000046785",9852,77781,"Epm2aip1",NA,1.54045849665573e-05,2.04493255533525e-05,1.03598443797621e-05,0.506610565357433,-0.981050930134952,0.000705387125579968,0.00545956952405522,NA
"10116","ENSMUSG00000046791",79697,71952,"2410016O06Rik",NA,2.11768790613498e-06,3.06761880709301e-06,1.16775700517696e-06,0.38067213647173,-1.39337912006258,0.000410205422841793,0.00359506980162424,NA
"10117","ENSMUSG00000046792",126208,67109,"Zfp787",NA,8.99086235546959e-06,9.81906782813625e-06,8.16265688280293e-06,0.831306700969422,-0.266547254071776,0.354813317668998,0.500631226974207,NA
"10118","ENSMUSG00000046794",79660,244416,"Ppp1r3b",NA,6.19399863818206e-07,5.44722753513126e-07,6.94076974123287e-07,1.27418392135617,0.349573537623407,0.314362883784775,0.459392762378381,NA
"10119","ENSMUSG00000046798",9069,64945,"Cldn12",NA,1.09849453859249e-05,1.35492364629226e-05,8.42065430892711e-06,0.62148552296435,-0.686207309709037,0.0143369369730269,0.0503578426495183,NA
"10120","ENSMUSG00000046805",219972,17476,"Mpeg1",NA,3.65924666459592e-06,3.81676892357954e-06,3.5017244056123e-06,0.917457796299659,-0.124286300386108,1,1,NA
"10121","ENSMUSG00000046806",78996,78412,"3110062M04Rik",NA,8.93919975985699e-07,1.14262197364972e-06,6.45217978321678e-07,0.564681927357608,-0.824489636277187,0.131833636363466,0.24566839270095,NA
"10122","ENSMUSG00000046808",NA,231287,"Atp10d",NA,1.74529074413588e-06,1.99789044797019e-06,1.49269104030158e-06,0.747133578729563,-0.420561891843083,0.317481975493375,0.462227086482201,"<a href=""https://mseqdr.org/MITO_backend/genes/ATP10D"">ATP10D</a>"
"10123","ENSMUSG00000046814",2644,320415,"Gchfr",NA,4.97963117477415e-08,4.13067911726317e-08,5.82858323228513e-08,1.41104720720764,0.496766254742476,0.494560085887126,0.63344547274385,NA
"10124","ENSMUSG00000046818",115265,73284,"Ddit4l",NA,4.71769848515505e-05,6.01183332425515e-05,3.42356364605496e-05,0.569470818866909,-0.81230617842302,0.00144668772198436,0.00942199067715061,NA
"10125","ENSMUSG00000046822",29985,106947,"Slc39a3",NA,9.63973292608241e-06,1.19866692585442e-05,7.29279659362063e-06,0.608408927978243,-0.716886771122404,0.031580066254122,0.0880392094657772,NA
"10126","ENSMUSG00000046828",NA,403183,"Mettl21e",NA,1.54053687326884e-06,1.82003525609658e-06,1.26103849044109e-06,0.692864869632047,-0.529354085845725,0.248753659007901,0.387750791934914,NA
"10127","ENSMUSG00000046836",148362,71678,"Brox",NA,5.03078705258346e-06,6.17169765573662e-06,3.8898764494303e-06,0.630276573223681,-0.665943054751035,0.031286065067968,0.0874360985936183,NA
